ONET_SOC_Code,Occupation,Hist_Ref_2013,MAEI_2026_Score,MAEI_Pure_2026,Anchor_Bias,Exposure_Delta,Score_Source,Mapping_Method,SOC_Major_Group,Data_Flag,Score_Std_Dev,Change_Category,Risk_Tier_2026,Risk_Level,Risk_Factor_1,Risk_Factor_2,Risk_Factor_3,Risk_Factor_4,Risk_Factor_5,Protective_Factor_1,Protective_Factor_2,Protective_Factor_3,Protective_Factor_4,Protective_Factor_5,Explanation,OCC_TITLE,TOT_EMP,A_MEDIAN,H_MEDIAN
39-2021.00,Animal Caretakers,82.0,81.34,82.03,-0.69,-0.66,direct_fo,direct,39,,0.32,No Change,Very High,HIGH,Low levels of fluency of ideas (value=2.12) [Lack of this exposes role to standard automation],Low levels of originality (value=2.00) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.12) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.00) [Lack of this exposes role to standard automation],Low levels of active learning (value=2.38) [Lack of this exposes role to standard automation],High reliance on nlp_topic_food_environmental (value=0.40) [Provides some protection against standard automation],High reliance on therapy and counseling (value=1.82) [Provides some protection against standard automation],High reliance on social task indicators (normalized) (value=11.49) [Provides some protection against standard automation],High reliance on assisting and caring for others (value=3.27) [Requires distinctly human physical/social presence],High reliance on social (value=3.75) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 81/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from nlp_topic_food_environmental.",Animal Caretakers,268830.0,31200.0,15.0
51-6021.00,"Pressers, Textile, Garment, and Related Materials",81.0,81.27,80.43,0.84,0.27,direct_fo,direct,51,,0.26,No Change,Very High,HIGH,Low levels of fluency of ideas (value=2.00) [Lack of this exposes role to standard automation],Low levels of originality (value=1.88) [Lack of this exposes role to standard automation],Low levels of instructing (value=1.25) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=2.50) [Lack of this exposes role to standard automation],Low levels of active learning (value=2.12) [Lack of this exposes role to standard automation],High reliance on therapy and counseling (value=1.66) [Provides some protection against standard automation],Low levels of nlp_topic_maintenance_repair (value=-0.32) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.16) [Provides some protection against standard automation],High reliance on task_count (value=28.00) [Provides some protection against standard automation],High reliance on assisting and caring for others (value=2.98) [Requires distinctly human physical/social presence],"This occupation has HIGH AI-task overlap (score: 81/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from therapy and counseling.","Pressers, Textile, Garment, and Related Materials",28700.0,32240.0,15.5
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",79.0,81.27,82.55,-1.28,2.27,direct_fo,direct,51,,0.77,No Change,Very High,HIGH,Low levels of originality (value=2.38) [Lack of this exposes role to standard automation],Low levels of fluency of ideas (value=2.88) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.12) [Lack of this exposes role to standard automation],Low levels of job zone (value=2.00) [Lack of this exposes role to standard automation],High reliance on nlp_topic_tools_machines (value=0.56) [Vulnerable to cognitive/routine automation],High reliance on therapy and counseling (value=1.74) [Provides some protection against standard automation],Low levels of nlp_topic_customer_service_food (value=-0.17) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_sales_systems (value=0.17) [Provides some protection against standard automation],Low levels of nlp_topic_data_software (value=-0.18) [Lack of this reduces exposure to routine automation],High reliance on systems analysis (value=2.88) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 81/100). Risk is driven by a lack of originality, making it vulnerable to standard automation. Protection is primarily from therapy and counseling.","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",29810.0,61240.0,29.44
47-5013.00,"Service Unit Operators, Oil and Gas",93.0,81.11,77.9,3.21,-11.89,direct_fo,direct,47,,4.24,Large Decrease,Very High,HIGH,Low levels of fluency of ideas (value=2.62) [Lack of this exposes role to standard automation],Low levels of originality (value=2.62) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.12) [Lack of this exposes role to standard automation],Low levels of job zone (value=2.00) [Lack of this exposes role to standard automation],Low levels of therapy and counseling (value=1.18) [Lack of this exposes role to standard automation],High reliance on assisting and caring for others (value=3.91) [Requires distinctly human physical/social presence],High reliance on management of personnel resources (value=3.00) [Provides some protection against standard automation],Low levels of routine task indicators (value=0.00) [Lack of this reduces exposure to routine automation],High reliance on problem sensitivity (value=4.00) [Provides some protection against standard automation],High reliance on judgment and decision making (value=3.25) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 81/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from assisting and caring for others. Since 2013, risk has decreased by 11.9 points, driven by changes in assisting and caring for others.","Service Unit Operators, Oil and Gas",46150.0,55750.0,26.8
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",74.0,80.96,82.97,-2.01,6.96,direct_fo,direct,49,,0.45,Moderate Increase,Very High,HIGH,Low levels of fluency of ideas (value=2.88) [Lack of this exposes role to standard automation],Low levels of originality (value=2.75) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.12) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.62) [Lack of this exposes role to standard automation],"Low levels of determine tasks, priorities and goals (value=3.40) [Lack of this exposes role to standard automation]",High reliance on time management (value=3.25) [Provides some protection against standard automation],High reliance on computers and electronics (value=4.34) [Provides some protection against standard automation],High reliance on speech recognition (value=3.50) [Provides some protection against standard automation],Low levels of nlp_topic_data_software (value=-0.15) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_sales_systems (value=0.12) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 81/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from time management. Since 2013, risk has increased by 7.0 points, driven by changes in fluency of ideas.","Computer, Automated Teller, and Office Machine Repairers",77580.0,45760.0,22.0
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",77.0,80.79,73.8,6.99,3.79,direct_fo,direct,13,,0.29,Moderate Increase,Very High,HIGH,High reliance on nlp_topic_customer_service_food (value=0.23) [Vulnerable to cognitive/routine automation],Low levels of assisting and caring for others (value=2.16) [Lack of physical/social tasks exposes role to automation],Low levels of nlp_topic_food_environmental (value=-0.13) [Lack of this exposes role to standard automation],Low levels of investigative (value=1.91) [Lack of this exposes role to standard automation],Low levels of problem sensitivity (value=3.50) [Lack of this exposes role to standard automation],High reliance on fluency of ideas (value=3.12) [Provides some protection against standard automation],High reliance on instructing (value=3.25) [Provides some protection against standard automation],High reliance on originality (value=3.00) [Provides some protection against standard automation],High reliance on active learning (value=3.88) [Provides some protection against standard automation],High reliance on judgment and decision making (value=3.88) [Provides some protection against standard automation],This occupation has HIGH AI-task overlap (score: 81/100). Risk is driven by high levels of nlp_topic_customer_service_food. Protection is primarily from fluency of ideas.,,,,
51-9162.00,Computer Numerically Controlled Tool Programmers,78.65,80.78,80.78,0.0,2.13,model_predicted,group_avg,51,,0.32,No Change,Very High,HIGH,Low levels of fluency of ideas (value=2.88) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.00) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.50) [Lack of this exposes role to standard automation],Low levels of originality (value=2.75) [Lack of this exposes role to standard automation],Low levels of job zone (value=2.00) [Lack of this exposes role to standard automation],High reliance on systems analysis (value=3.12) [Provides some protection against standard automation],High reliance on creative task indicators (value=4.00) [Provides some protection against standard automation],High reliance on creative task indicators (normalized) (value=15.27) [Provides some protection against standard automation],High reliance on problem sensitivity (value=3.88) [Provides some protection against standard automation],Low levels of physical task indicators (value=0.00) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 81/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from systems analysis.",Computer Numerically Controlled Tool Programmers,28030.0,63440.0,30.5
47-2221.00,Structural Iron and Steel Workers,83.0,80.7,71.75,8.96,-2.3,direct_fo,direct,47,,0.85,No Change,Very High,HIGH,Low levels of fluency of ideas (value=2.88) [Lack of this exposes role to standard automation],Low levels of originality (value=2.75) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.12) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.00) [Lack of this exposes role to standard automation],High reliance on physical task indicators (value=7.00) [Historical automation risks may remain despite physical tasks],High reliance on coordination (value=3.62) [Provides some protection against standard automation],High reliance on management of personnel resources (value=2.88) [Provides some protection against standard automation],Low levels of routine task indicators (value=1.00) [Lack of this reduces exposure to routine automation],Low levels of technical task indicators (normalized) (value=0.00) [Lack of this reduces exposure to routine automation],High reliance on task_std_importance (value=0.49) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 81/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from coordination.",Structural Iron and Steel Workers,63780.0,62760.0,30.17
53-5011.00,Sailors and Marine Oilers,83.0,80.6,80.3,0.31,-2.4,direct_fo,direct,53,,0.31,No Change,Very High,HIGH,Low levels of fluency of ideas (value=2.38) [Lack of this exposes role to standard automation],Low levels of originality (value=2.38) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.12) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.62) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.12) [Lack of this exposes role to standard automation],High reliance on assisting and caring for others (value=3.47) [Requires distinctly human physical/social presence],Low levels of task_min_importance (value=2.52) [Lack of this reduces exposure to routine automation],High reliance on task_std_importance (value=0.52) [Provides some protection against standard automation],High reliance on management of personnel resources (value=2.75) [Provides some protection against standard automation],High reliance on task_count (value=28.00) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 81/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from assisting and caring for others.",Sailors and Marine Oilers,29960.0,48400.0,23.27
51-4192.00,"Layout Workers, Metal and Plastic",84.0,80.47,73.73,6.74,-3.53,direct_fo,direct,51,,0.38,Moderate Decrease,Very High,HIGH,Low levels of originality (value=2.50) [Lack of this exposes role to standard automation],Low levels of fluency of ideas (value=2.75) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.38) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.25) [Lack of this exposes role to standard automation],Low levels of speech recognition (value=2.75) [Lack of this exposes role to standard automation],Low levels of nlp_topic_customer_service_food (value=-0.10) [Lack of this reduces exposure to routine automation],Low levels of nlp_topic_data_software (value=-0.09) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_food_environmental (value=0.12) [Provides some protection against standard automation],High reliance on assisting and caring for others (value=3.01) [Requires distinctly human physical/social presence],Low levels of nlp_topic_maintenance_repair (value=-0.19) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 80/100). Risk is driven by a lack of originality, making it vulnerable to standard automation. Protection is primarily from a lack of nlp_topic_customer_service_food.","Layout Workers, Metal and Plastic",6660.0,62270.0,29.94
47-4051.00,Highway Maintenance Workers,87.0,80.39,80.33,0.06,-6.61,direct_fo,direct,47,,4.01,Moderate Decrease,Very High,HIGH,Low levels of fluency of ideas (value=2.12) [Lack of this exposes role to standard automation],Low levels of originality (value=2.12) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.38) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.00) [Lack of this exposes role to standard automation],Low levels of active learning (value=2.38) [Lack of this exposes role to standard automation],High reliance on assisting and caring for others (value=3.94) [Requires distinctly human physical/social presence],Low levels of routine task indicators (value=1.00) [Lack of this reduces exposure to routine automation],High reliance on coordination (value=3.12) [Provides some protection against standard automation],High reliance on therapy and counseling (value=1.62) [Provides some protection against standard automation],High reliance on establishing and maintaining interpersonal relationships (value=4.38) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 80/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from assisting and caring for others. Since 2013, risk has decreased by 6.6 points, driven by changes in assisting and caring for others.",Highway Maintenance Workers,150860.0,47360.0,22.77
43-4061.00,"Eligibility Interviewers, Government Programs",70.0,80.27,82.07,-1.8,10.27,direct_fo,direct,43,,1.06,Large Increase,Very High,HIGH,Low levels of originality (value=2.50) [Lack of this exposes role to standard automation],Low levels of fluency of ideas (value=2.75) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.12) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.12) [Lack of this exposes role to standard automation],Low levels of creative task indicators (value=0.00) [Lack of this exposes role to standard automation],High reliance on therapy and counseling (value=2.10) [Provides some protection against standard automation],High reliance on speech recognition (value=3.75) [Provides some protection against standard automation],High reliance on social perceptiveness (value=3.75) [Provides some protection against standard automation],High reliance on social (value=4.44) [Provides some protection against standard automation],Low levels of handling and moving objects (value=1.22) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 80/100). Risk is driven by a lack of originality, making it vulnerable to standard automation. Protection is primarily from therapy and counseling. Since 2013, risk has increased by 10.3 points, driven by changes in originality.","Eligibility Interviewers, Government Programs",150190.0,50270.0,24.17
35-2011.00,"Cooks, Fast Food",81.0,80.25,81.25,-0.99,-0.75,direct_fo,direct,35,,0.25,No Change,Very High,HIGH,Low levels of fluency of ideas (value=2.00) [Lack of this exposes role to standard automation],Low levels of originality (value=2.00) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.12) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=2.88) [Lack of this exposes role to standard automation],Low levels of job zone (value=1.00) [Lack of this exposes role to standard automation],High reliance on nlp_topic_food_environmental (value=0.57) [Provides some protection against standard automation],High reliance on nlp_topic_sales_systems (value=0.17) [Provides some protection against standard automation],High reliance on social task indicators (normalized) (value=9.30) [Provides some protection against standard automation],Low levels of physical task indicators (value=0.00) [Lack of this reduces exposure to routine automation],High reliance on task_max_importance (value=4.85) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 80/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from nlp_topic_food_environmental.","Cooks, Fast Food",673490.0,29260.0,14.07
47-4091.00,Segmental Pavers,83.0,80.16,78.93,1.22,-2.84,direct_fo,direct,47,,0.3,No Change,Very High,HIGH,Low levels of fluency of ideas (value=2.62) [Lack of this exposes role to standard automation],Low levels of originality (value=2.62) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.12) [Lack of this exposes role to standard automation],Low levels of active learning (value=2.62) [Lack of this exposes role to standard automation],Low levels of job zone (value=2.00) [Lack of this exposes role to standard automation],High reliance on creative task indicators (normalized) (value=18.40) [Provides some protection against standard automation],High reliance on coordination (value=3.25) [Provides some protection against standard automation],High reliance on creative task indicators (value=3.00) [Provides some protection against standard automation],High reliance on therapy and counseling (value=1.70) [Provides some protection against standard automation],High reliance on management of personnel resources (value=2.88) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 80/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from creative task indicators (normalized).",,,,
17-3024.01,Robotics Technicians,81.0,80.16,78.03,2.13,-0.84,direct_fo,direct,17,,0.33,No Change,Very High,HIGH,Low levels of speech recognition (value=3.12) [Lack of this exposes role to standard automation],Low levels of therapy and counseling (value=1.18) [Lack of this exposes role to standard automation],High reliance on physical task indicators (value=3.00) [Historical automation risks may remain despite physical tasks],Low levels of persuasion (value=2.50) [Lack of this exposes role to standard automation],High reliance on technical task indicators (normalized) (value=32.39) [AI now handles this well],High reliance on fluency of ideas (value=3.12) [Provides some protection against standard automation],High reliance on deductive reasoning (value=4.12) [Provides some protection against standard automation],High reliance on originality (value=3.00) [Provides some protection against standard automation],High reliance on systems analysis (value=3.12) [Provides some protection against standard automation],High reliance on creative task indicators (value=4.00) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 80/100). Risk is driven by a lack of speech recognition, making it vulnerable to standard automation. Protection is primarily from fluency of ideas.",Electro-Mechanical and Mechatronics Technologists and Technicians,15360.0,65080.0,31.29
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",78.0,80.02,80.46,-0.44,2.02,direct_fo,direct,51,,0.45,No Change,Very High,HIGH,Low levels of fluency of ideas (value=2.00) [Lack of this exposes role to standard automation],Low levels of originality (value=2.00) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.00) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.00) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=1.88) [Lack of this exposes role to standard automation],High reliance on creative task indicators (value=3.00) [Provides some protection against standard automation],High reliance on task_count (value=31.00) [Provides some protection against standard automation],Low levels of nlp_topic_data_software (value=-0.10) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.14) [Provides some protection against standard automation],Low levels of nlp_topic_maintenance_repair (value=-0.24) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 80/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from creative task indicators.","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",179230.0,42400.0,20.39
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",83.0,80.0,79.72,0.28,-3.0,direct_fo,direct,47,,1.04,Moderate Decrease,High,HIGH,Low levels of fluency of ideas (value=2.00) [Lack of this exposes role to standard automation],Low levels of originality (value=2.00) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.00) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.50) [Lack of this exposes role to standard automation],Low levels of active learning (value=2.38) [Lack of this exposes role to standard automation],High reliance on nlp_topic_food_environmental (value=0.20) [Provides some protection against standard automation],Low levels of routine task indicators (value=1.00) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.13) [Provides some protection against standard automation],Low levels of nlp_topic_maintenance_repair (value=-0.15) [Lack of this reduces exposure to routine automation],Low levels of routine task indicators (normalized) (value=4.93) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 80/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from nlp_topic_food_environmental.","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",16460.0,42470.0,20.42
17-3012.00,Electrical and Electronics Drafters,81.0,79.91,79.59,0.32,-1.09,direct_fo,direct,17,,0.48,No Change,High,HIGH,Low levels of fluency of ideas (value=2.88) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.25) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.75) [Lack of this exposes role to standard automation],High reliance on routine task indicators (value=6.00) [AI now handles this well],High reliance on physical task indicators (value=4.00) [Historical automation risks may remain despite physical tasks],High reliance on judgment and decision making (value=3.50) [Provides some protection against standard automation],Low levels of nlp_topic_customer_service_food (value=-0.23) [Lack of this reduces exposure to routine automation],High reliance on active learning (value=3.25) [Provides some protection against standard automation],High reliance on creative task indicators (value=3.00) [Provides some protection against standard automation],High reliance on nlp_topic_sales_systems (value=0.15) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 80/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from judgment and decision making.",Electrical and Electronics Drafters,20680.0,69260.0,33.3
47-2021.00,Brickmasons and Blockmasons,82.0,79.86,80.99,-1.13,-2.14,direct_fo,direct,47,,0.29,No Change,High,HIGH,Low levels of fluency of ideas (value=2.25) [Lack of this exposes role to standard automation],Low levels of originality (value=2.62) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.25) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.00) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.12) [Lack of this exposes role to standard automation],Low levels of routine task indicators (value=0.00) [Lack of this reduces exposure to routine automation],High reliance on task_std_importance (value=0.56) [Provides some protection against standard automation],High reliance on coordination (value=3.12) [Provides some protection against standard automation],Low levels of routine task indicators (normalized) (value=0.00) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.13) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 80/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from a lack of routine task indicators.",Brickmasons and Blockmasons,56830.0,59640.0,28.67
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",79.0,79.78,87.05,-7.27,0.78,direct_fo,direct,43,,0.28,No Change,High,HIGH,Low levels of fluency of ideas (value=2.00) [Lack of this exposes role to standard automation],Low levels of originality (value=1.88) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.25) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.00) [Lack of this exposes role to standard automation],Low levels of active learning (value=2.12) [Lack of this exposes role to standard automation],High reliance on creative task indicators (normalized) (value=11.30) [Provides some protection against standard automation],High reliance on nlp_topic_production_manufacturing (value=0.07) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=0.05) [Provides some protection against standard automation],Low levels of nlp_topic_equipment_materials (value=0.33) [Lack of this reduces exposure to routine automation],Low levels of realistic (value=4.60) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 80/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from creative task indicators (normalized).","Postal Service Mail Sorters, Processors, and Processing Machine Operators",116540.0,53440.0,25.69
45-3031.00,Fishing and Hunting Workers,83.19,79.55,79.55,0.0,-3.64,model_predicted,group_avg,45,,0.43,Moderate Decrease,High,HIGH,Low levels of fluency of ideas (value=2.75) [Lack of this exposes role to standard automation],Low levels of job zone (value=1.00) [Lack of this exposes role to standard automation],Low levels of originality (value=2.75) [Lack of this exposes role to standard automation],Low levels of active learning (value=2.50) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.25) [Lack of this exposes role to standard automation],High reliance on coordination (value=3.12) [Provides some protection against standard automation],High reliance on thinking creatively (value=3.68) [Provides some protection against standard automation],High reliance on task_count (value=29.00) [Provides some protection against standard automation],High reliance on speed of closure (value=2.88) [Provides some protection against standard automation],High reliance on task_max_importance (value=4.80) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 80/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from coordination.",,,,
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",79.84,79.31,79.31,0.0,-0.53,model_predicted,group_avg,45,,0.66,No Change,High,HIGH,Low levels of fluency of ideas (value=2.50) [Lack of this exposes role to standard automation],Low levels of originality (value=2.62) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.38) [Lack of this exposes role to standard automation],Low levels of job zone (value=2.00) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.25) [Lack of this exposes role to standard automation],High reliance on nlp_topic_food_environmental (value=0.36) [Provides some protection against standard automation],High reliance on problem sensitivity (value=3.75) [Provides some protection against standard automation],Low levels of education: 2.0 (value=13.04) [Lack of this reduces exposure to routine automation],High reliance on therapy and counseling (value=1.52) [Provides some protection against standard automation],High reliance on nlp_topic_sales_systems (value=0.02) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 79/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from nlp_topic_food_environmental.","Farmworkers, Farm, Ranch, and Aquacultural Animals",32590.0,35120.0,16.88
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,94.0,79.2,76.35,2.84,-14.8,direct_fo,direct,37,,3.94,Large Decrease,High,HIGH,Low levels of fluency of ideas (value=2.75) [Lack of this exposes role to standard automation],Low levels of originality (value=2.62) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.12) [Lack of this exposes role to standard automation],Low levels of job zone (value=2.00) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.38) [Lack of this exposes role to standard automation],High reliance on instructing (value=3.12) [Provides some protection against standard automation],High reliance on management of personnel resources (value=3.38) [Provides some protection against standard automation],High reliance on assisting and caring for others (value=4.13) [Requires distinctly human physical/social presence],High reliance on therapy and counseling (value=1.80) [Provides some protection against standard automation],High reliance on coordination (value=3.25) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 79/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from instructing. Since 2013, risk has decreased by 14.8 points, driven by changes in instructing.",First-Line Supervisors of Housekeeping and Janitorial Workers,171120.0,46650.0,22.43
47-2072.00,Pile Driver Operators,82.0,78.97,78.97,-0.0,-3.03,direct_fo,direct,47,,0.55,Moderate Decrease,High,HIGH,Low levels of fluency of ideas (value=2.00) [Lack of this exposes role to standard automation],Low levels of originality (value=1.88) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.12) [Lack of this exposes role to standard automation],Low levels of active learning (value=2.00) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.12) [Lack of this exposes role to standard automation],Low levels of routine task indicators (value=1.00) [Lack of this reduces exposure to routine automation],Low levels of technical task indicators (normalized) (value=0.00) [Lack of this reduces exposure to routine automation],High reliance on therapy and counseling (value=1.55) [Provides some protection against standard automation],Low levels of nlp_topic_customer_service_food (value=-0.03) [Lack of this reduces exposure to routine automation],High reliance on task_max_importance (value=4.69) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 79/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from a lack of routine task indicators.",Pile Driver Operators,3010.0,63550.0,30.55
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",79.0,78.74,72.68,6.05,-0.26,direct_fo,direct,49,,0.75,No Change,High,HIGH,Low levels of fluency of ideas (value=2.00) [Lack of this exposes role to standard automation],Low levels of originality (value=2.00) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.12) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.12) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.12) [Lack of this exposes role to standard automation],High reliance on therapy and counseling (value=1.75) [Provides some protection against standard automation],Low levels of nlp_topic_data_software (value=-0.19) [Lack of this reduces exposure to routine automation],Low levels of nlp_topic_customer_service_food (value=-0.16) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_sales_systems (value=0.16) [Provides some protection against standard automation],Low levels of routine task indicators (value=1.00) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 79/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from therapy and counseling.","Helpers--Installation, Maintenance, and Repair Workers",101890.0,36710.0,17.65
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,79.0,78.73,79.43,-0.7,-0.27,direct_fo,direct,53,,0.23,No Change,High,HIGH,Low levels of fluency of ideas (value=2.00) [Lack of this exposes role to standard automation],Low levels of originality (value=1.88) [Lack of this exposes role to standard automation],Low levels of instructing (value=1.88) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.12) [Lack of this exposes role to standard automation],Low levels of active learning (value=2.50) [Lack of this exposes role to standard automation],High reliance on creative task indicators (value=3.00) [Provides some protection against standard automation],High reliance on task_count (value=29.00) [Provides some protection against standard automation],Low levels of routine task indicators (normalized) (value=4.49) [Lack of this reduces exposure to routine automation],High reliance on technical task indicators (value=5.00) [Provides some protection against standard automation],Low levels of physical task indicators (normalized) (value=2.25) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 79/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from creative task indicators.",Heavy and Tractor-Trailer Truck Drivers,2044400.0,54320.0,26.12
